Corruption Perceptions Index 2023: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,WE/EU,90,1,1.82,8,87,93,,97,,90,,83,98,,100,79,,82,88
Finland,FIN,WE/EU,87,2,1.06,8,85,89,,88,,90,,83,90,,93,78,,87,86
New Zealand,NZL,AP,85,3,1.92,8,82,88,,97,,90,,83,87,,93,78,,71,82
Norway,NOR,WE/EU,84,4,1.38,7,82,86,,88,,90,,83,76,,85,78,,,87
Singapore,SGP,AP,83,5,1.15,9,81,85,,,73,90,,83,77,89,83,78,,89,84
Sweden,SWE,WE/EU,82,6,2.28,8,78,86,,88,,90,,83,80,,93,78,,61,86
Switzerland,CHE,WE/EU,82,6,1.74,7,79,85,,88,,90,,71,85,,85,77,,81,
Netherlands,NLD,WE/EU,79,8,2.10,8,76,82,,62,,90,,71,86,,85,77,,76,82
Germany,DEU,WE/EU,78,9,2.14,8,74,82,,79,,90,,71,87,,83,77,,60,79
Luxembourg,LUX,WE/EU,78,9,1.06,8,76,80,,79,,72,,71,78,,85,77,,82,80
Ireland,IRL,WE/EU,77,11,1.17,8,75,79,,79,,72,,71,87,,76,76,,74,80
Canada,CAN,AME,76,12,1.73,8,73,79,,79,,90,,71,74,,76,76,,63,79
Estonia,EST,WE/EU,76,12,1.06,10,74,78,,88,81,72,68,71,83,,67,76,,73,76
Australia,AUS,AP,75,14,1.52,9,73,77,,70,,72,,83,75,87,76,77,,59,79
Hong Kong,HKG,AP,75,14,2.18,8,71,79,,,,90,,59,83,76,67,72,,81,73
Belgium,BEL,WE/EU,73,16,2.13,8,70,76,,79,,72,,71,81,,74,77,,51,76
Japan,JPN,AP,73,16,1.75,9,70,76,,53,,72,,71,75,81,67,75,,83,80
Uruguay,URY,AME,73,16,0.67,7,72,74,,,77,72,,71,,,76,72,,70,72
Iceland,ISL,WE/EU,72,19,3.54,7,66,78,,44,,72,,71,86,,76,77,,77,
Austria,AUT,WE/EU,71,20,1.37,8,69,73,,79,,72,,59,74,,74,69,,69,74
France,FRA,WE/EU,71,20,0.43,8,70,72,,70,,72,,71,70,,70,75,,70,71
Seychelles,SYC,SSA,71,20,0.37,3,70,72,,,,72,,71,,,,71,,,
United Kingdom,GBR,WE/EU,71,20,1.68,8,68,74,,70,,72,,71,72,,74,75,,55,80
Barbados,BRB,AME,69,24,3.37,3,63,75,,,,,,71,,,,74,,,62
United States,USA,AME,69,24,2.14,9,65,73,,70,,90,,71,71,49,67,74,,59,72
Bhutan,BTN,AP,68,26,2.18,4,64,72,,,69,,,71,,,,70,60,,
United Arab Emirates,ARE,MENA,68,26,2.57,7,64,72,,,53,72,,59,81,,65,71,,,73
Taiwan,TWN,AP,67,28,1.53,8,64,70,,,77,72,,71,67,58,59,63,,71,
Chile,CHL,AME,66,29,1.54,9,63,69,,62,77,72,,71,55,,59,74,,57,65
Bahamas,BHS,AME,64,30,5.47,3,55,73,,,,,,59,,,76,,,,57
Cabo Verde,CPV,SSA,64,30,3.05,3,59,69,,,,,,71,,,,62,60,,
"Korea, South",KOR,AP,63,32,1.25,10,61,65,,70,61,72,,59,58,48,64,69,,56,71
Israel,ISR,MENA,62,33,2.45,6,58,66,,62,,72,,59,61,,50,69,,,
Lithuania,LTU,WE/EU,61,34,1.25,10,59,63,,62,73,55,62,59,56,,50,72,,55,70
Portugal,PRT,WE/EU,61,34,1.75,8,58,64,,70,,55,,59,48,,65,68,,55,65
Latvia,LVA,WE/EU,60,36,1.76,9,57,63,,70,65,55,62,59,51,,43,72,,,64
Saint Vincent and the Grenadines,VCT,AME,60,36,4.26,3,53,67,,,,,,59,,,,,52,,68
Spain,ESP,WE/EU,60,36,2.36,8,56,64,,70,,55,,47,55,,56,75,,50,70
Botswana,BWA,SSA,59,39,3.04,7,54,64,,,53,72,,71,41,,66,58,,,53
Qatar,QAT,MENA,58,40,4.90,6,50,66,,,41,72,,47,81,,56,50,,,
Czechia,CZE,WE/EU,57,41,1.26,10,55,59,,44,57,55,59,59,70,,50,67,,50,63
Dominica,DMA,AME,56,42,1.91,3,53,59,,,,,,59,,,,,52,,56
Italy,ITA,WE/EU,56,42,1.66,8,53,59,,62,,55,,59,50,,50,69,,47,61
Slovenia,SVN,WE/EU,56,42,1.04,10,54,58,,53,61,55,68,59,48,,56,57,,45,61
Costa Rica,CRI,AME,55,45,2.90,7,50,60,,,69,55,,47,,,41,65,,45,62
Saint Lucia,LCA,AME,55,45,3.70,3,49,61,,,,,,47,,,,,60,,57
Poland,POL,WE/EU,54,47,1.36,10,52,56,,44,49,55,56,59,54,,41,69,,51,63
Slovakia,SVK,WE/EU,54,47,1.67,9,51,57,,53,57,55,56,71,48,,41,62,,,48
Cyprus,CYP,WE/EU,53,49,2.21,8,49,57,,35,,55,,59,45,,48,64,,57,61
Georgia,GEO,ECA,53,49,3.99,6,46,60,,,45,,50,35,,,,69,,64,57
Grenada,GRD,AME,53,49,3.74,3,47,59,,,,,,47,,,,,52,,61
Rwanda,RWA,SSA,53,49,2.19,6,49,57,57,,45,,,59,,,,54,43,,59
Fiji,FJI,AP,52,53,4.15,3,45,59,,,,,,59,,,,54,43,,
Saudi Arabia,SAU,MENA,52,53,5.28,6,43,61,,,33,55,,35,79,,59,54,,,
Malta,MLT,WE/EU,51,55,2.42,7,47,55,,53,,55,,47,,,41,65,,40,58
Mauritius,MUS,SSA,51,55,2.04,6,48,54,,,45,55,,59,,,,43,,57,49
Croatia,HRV,WE/EU,50,57,1.25,9,48,52,,44,53,55,50,47,38,,53,60,,,51
Malaysia,MYS,AP,50,57,0.97,9,48,52,,,49,55,,59,47,41,50,51,,47,47
Greece,GRC,WE/EU,49,59,2.21,8,45,53,,62,,37,,59,47,,35,56,,47,52
Namibia,NAM,SSA,49,59,2.84,6,44,54,,,33,55,,59,,,50,53,,,46
Vanuatu,VUT,AP,48,61,3.14,3,43,53,,,,,,47,,,,55,43,,
Armenia,ARM,ECA,47,62,2.54,6,43,51,,,49,,44,47,,,32,55,,54,
Jordan,JOR,MENA,46,63,2.87,7,41,51,,,33,55,,35,62,,41,48,,,51
Kuwait,KWT,MENA,46,63,1.66,8,43,49,,,45,37,,35,49,,47,56,,53,46
Montenegro,MNE,ECA,46,63,2.55,5,42,50,,,57,,44,47,,,,41,,,39
Romania,ROU,WE/EU,46,63,0.91,10,45,47,,44,45,37,56,47,43,,41,53,,42,50
Bulgaria,BGR,WE/EU,45,67,1.16,10,43,47,,44,49,37,53,47,36,,50,57,,41,37
Sao Tome and Principe,STP,SSA,45,67,4.82,4,37,53,32,,,,,47,,,,59,43,,
Jamaica,JAM,AME,44,69,3.06,7,39,49,,,37,37,,35,,,41,67,,38,51
Benin,BEN,SSA,43,70,3.13,6,38,48,42,,41,,,35,,,,62,43,,36
