Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Starting a business - Score,IC.REG.STRT.BUS.DFRN,82.55461,92.0413,91.99116
Afghanistan,AFG,Dealing with construction permits (DB16-20 methodology) - Score,IC.CNST.PRMT.DFRN.DB1619,33.70269,34.53602,34.53602
Afghanistan,AFG,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score,IC.CNST.PRMT.BQCI.015.DB1619.DFRN,16.66667,20,20
Afghanistan,AFG,Dealing with construction permits: Cost (% of Warehouse value) - Score,IC.CNST.PRMT.COST.WRH.VAL.DFRN,0,0,0
Afghanistan,AFG,Dealing with construction permits: Time (days)  - Score,IC.CNST.PRMT.TM.DY.DFRN,50.14409,50.14409,50.14409
Afghanistan,AFG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,37.13062,44.20343,44.06497
Afghanistan,AFG,Dealing with construction permits: Procedures (number) - Score,IC.CNST.PRMT.PROC.NO.DFRN,68,68,68
Afghanistan,AFG,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,44.57528,44.5086,44.20609
Afghanistan,AFG,Getting electricity: Cost to get electricity (% of income per capita) - Score,IC.ELC.ACS.COST.DFRN,70.04024,69.77351,68.56349
Afghanistan,AFG,Getting electricity: Procedures (number) - Score,IC.ELC.PROC.NO.DFRN,50,50,50
Afghanistan,AFG,Getting electricity: Time (days) - Score,IC.ELC.TIME.DFRN,58.26087,58.26087,58.26087
Afghanistan,AFG,Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology) - Score,IC.ELC.RSTT.XD.08.DFRN.DB1619,0,0,0
Afghanistan,AFG,Registering property (DB17-20 methodology) - Score,IC.REG.PRRT.DFRN.DB1719,27.5,27.5,27.5
Afghanistan,AFG,Registering property: Cost (% of property value) - Score,IC.REG.PRRT.COST.PRT.VAL.DFRN,66.66667,66.66667,66.66667
Afghanistan,AFG,Registering property: Procedures (number) - Score,IC.REG.PRRT.PROC.NO.DFRN,33.33333,33.33333,33.33333
Afghanistan,AFG,Registering property: Time (days) - Score,IC.REG.PRRT.DURS.TM.DRFN,0,0,0
Afghanistan,AFG,Registering property: Quality of land administration index (0-30) (DB17-20 methodology) - Score,IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16.DFRN,10,10,10
Afghanistan,AFG,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,45,50,50
Afghanistan,AFG,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology) - Score,IC.CRED.ACC.LGL.RGHT.012.XD.DB1519.DFRN,75,83.33333,83.33333
Afghanistan,AFG,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score,IC.CRED.ACC.DPTH.CISI.XD.08.DB1519.DFRN,0,0,0
Afghanistan,AFG,Protecting minority investors (DB15-20 methodology) - Score,PROT.MINOR.INV.DFRN.DB1519,10,36,36
Afghanistan,AFG,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology) - Score,PROT.MINOR.INV.EASE.SSI.XD.0010.DB1519.DFRN,30,90,90
Afghanistan,AFG,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.CORP.TRANS.XD.010.DB1519.DFRN,0,0,0
Afghanistan,AFG,Protecting minority investors: Extent of disclosure index (0-10) - Score,PROT.MINOR.INV.EXT.DISC.010.XD.DFRN,10,80,80
Afghanistan,AFG,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.OWNR.CONTL.010.XD.DFRN,0,0,0
Afghanistan,AFG,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0,0,0
Afghanistan,AFG,Protecting minority investors: Extent of director liability index (0-10) - Score,PROT.MINOR.INV.EXT.DIR.LBL.010.XD.DFRN,10,10,10
Afghanistan,AFG,Protecting minority investors: Strength of minority investor protection index (0-50) (DB15-20 methodology),PROT.MINOR.INV.STRENG.MIN.INV.PROT.XD.010.DB0614,5,18,18
Afghanistan,AFG,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,41.96531,43.27458,42.15851
Afghanistan,AFG,Paying taxes: Total tax and contribution rate (% of profit) - Score,PAY.TAX.TOT.TAX.RT.ZS.DRFRN,29.45836,29.45836,29.45836
Afghanistan,AFG,Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,71.4,71.4,71.4
Afghanistan,AFG,Paying taxes: Labor tax and contributions (% of profits),PAY.TAX.LABR.TAX.CONTR.ZS,0,0,0
Afghanistan,AFG,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0,0,0
Afghanistan,AFG,Paying taxes: Payments per year (number per year) - Score,PAY.TAX.PYMT.NO.DFRN,73.33333,73.33333,73.33333
Afghanistan,AFG,Paying taxes: Time (hours per year) - Score,PAY.TAX.TM.DFRN,65.06955,65.84235,65.84235
Afghanistan,AFG,Paying taxes: Postfiling index (0-100) (DB17-20 methodology) - Score,PAY.TAX.POST.FIL.XD.0100.DB1719.DFRN,0,4.46429,0
Afghanistan,AFG,Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology),PAY.TAX.VAT.REF.OBT.WKS.TM.DB1719,..,..,..
Afghanistan,AFG,Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology) - Score,PAY.TAX.COIT.AU.HRS.TM.DB1719.DFRN,0,0,0
Afghanistan,AFG,Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology) - Score,PAY.TAX.COIT.WKS.TM.DB1719.DFRN,0,8.928571,0
Afghanistan,AFG,Trading across borders (DB16-20 methodology) - Score,TRD.ACRS.BRDR.DB1619.DFRN,30.63301,30.63301,30.63301
Afghanistan,AFG,Time to export: Border compliance (hours) (DB16-20 methodology),TRD.ACRS.BRDR.EXPT.BRDR.COMP.HR.DB1619,48,48,48
Afghanistan,AFG,Time to export: Documentary compliance (hours) (DB16-20 methodology),TRD.ACRS.BRDR.DOC.COMP.HR.DB1619,228,228,228
Afghanistan,AFG,Time to import: Documentary compliance (hours) (DB16-20 methodology),TRD.ACRS.BRDR.IMP.DOC.COMP.HR.DB1619,324,324,324
Afghanistan,AFG,Time to import: Border compliance (hours) (DB16-20 methodology),TRD.ACRS.BRDR.IMP.BRDR.COMP.HR.DB1619,96,96,96
Afghanistan,AFG,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology) - Score,TRD.ACRS.BRDR.EXPT.COST.BRDR.COMP.CD.DB1619.DFRN,57.28512,57.28512,57.28512
