"Annex table 1. FDI inflows, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,204  887.7,153  959.1,164  685.0,222  236.6,255  893.7,345  142.7,392  778.7,480  628.5,681  509.3,1078  285.7,1356  685.1,773  130.5,590  311.3,549  570.6,699  234.5,954  072.5,1400  939.1,1889  474.1,1454  599.6,1137  385.0,1369  184.4,1601  135.2,1459  065.8,1455  288.8,1397  394.1,2049  899.4,2019  332.5,1651  163.1,1376  139.3,1729  239.1,984  578.0,1621  807.6,1355  748.9,1331  813.3
Developed economies,171  279.5,116  083.0,112  105.3,145  961.3,153  719.5,228  407.0,246  473.0,295  542.1,509  573.1,870  309.9,1133  973.8,560  142.5,424  916.1,355  532.5,441  206.6,631  232.2,1009  581.3,1382  594.0,900  473.0,700  596.4,760  382.6,931  573.8,789  187.1,792  258.6,710  455.9,1310  224.3,1344  412.1,950  327.5,674  750.1,1024  750.2,337  595.2,731  842.7,426  197.7,464  396.6
Europe,102  697.3,81  867.4,77  530.9,82  785.4,90  541.0,141  746.4,138  208.5,162  388.2,293  729.8,531  685.9,710  777.7,350  865.4,296  002.8,274  684.5,239  885.5,506  576.7,664  818.4,963  967.9,436  560.5,476  201.9,481  738.0,582  462.7,463  671.1,435  901.8,361  425.2,751  218.9,754  023.0,525  892.0,320  293.7,660  687.2,158  932.7,178  747.9,-105  878.0,16  493.1
European Union,65  099.4,63  939.3,59  033.4,63  313.5,73  153.2,110  995.3,100  057.7,111  729.3,211  493.6,418  392.8,564  989.5,298  098.8,262  766.0,226  394.3,155  573.5,297  514.9,410  722.3,668  322.8,220  605.1,296  012.5,334  957.8,445  036.6,319  199.2,315  773.6,290  679.0,631  254.1,363  448.7,274  520.6,305  556.1,627  335.7,154  888.5,266  502.1,-84  830.9,58  645.2
Austria,  653.0,  360.0,1  485.5,1  125.1,2  075.8,1  825.1,4  323.5,2  669.0,4  571.9,2  974.5,8  501.0,5  689.4,  138.3,6  195.0,3  183.6,10  784.5,4  754.8,25  484.3,7  226.1,9  268.3,2  575.5,10  615.6,3  988.9,5  721.2,4  583.1,1  488.4,-8  508.3,14  953.1,5  389.8,4  905.5,-9  982.8,17  092.3,9  325.6,4  465.6
Belgium,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,16  250.5,33  476.1,43  557.9,34  370.5,58  893.0,93  430.7,-13  857.3,64  440.4,57  583.3,83  366.3,11  670.4,23  898.0,-3  505.9,28  331.3,68  245.1,-3  064.8,27  137.2,11  860.8,3  133.0,9  905.5,11  550.9,23  019.1
Belgium / Luxembourg,8  046.7,9  362.6,11  285.8,10  750.0,8  513.6,10  688.7,14  063.9,11  998.3,22  690.5,119  692.9,88  738.7,88  203.3,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Bulgaria,  4.0,  55.9,  41.5,  40.0,  105.4,  90.4,  109.0,  646.7,  678.4,  922.7,1  016.5,  808.4,  922.3,2  088.5,3  397.1,3  920.0,7  804.9,12  388.9,9  855.1,3  385.4,1  549.1,2  052.3,1  697.2,1  837.7,  461.6,2  217.4,1  040.3,1  813.8,1  142.6,1  835.3,3  397.1,1  794.2,2  770.6,3  913.2
Croatia,  0.0,  0.0,  13.0,  118.3,  110.3,  103.5,  485.2,  579.6,  943.7,1  425.5,  989.7,1  035.9,  985.0,1  812.6,1  291.4,1  810.3,3  132.8,4  669.9,5  406.8,2  948.1,1  171.9,1  589.9,1  312.2,  905.4,2  889.2,  75.4,  276.3,  528.9,1  199.4,  401.6,  146.1,4  486.4,3  590.1,2  749.1
Cyprus,  126.6,  81.8,  107.4,  83.4,  75.2,  375.8,  428.9,  548.4,  345.3,  803.6,  837.6,  928.6,1  038.6,  891.4,8  594.8,11  090.5,16  726.2,23  237.6,12  246.5,  0.0,33  429.6,36  622.6,63  501.9,22  260.8,46  454.1,23  945.6,10  928.3,9  437.6,-  413.5,52  329.7,-24  450.8,7  387.9,5  731.6,3  447.0
