"Annex table 3. FDI instock, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,2196  202.9,2471  122.7,2493  698.9,2698  838.3,2963  743.8,3564  454.8,4133  993.6,4719  786.1,5916  606.8,7086  608.8,7377  200.9,7470  722.8,7331  946.9,9143  363.1,10623  275.7,11500  768.8,14188  362.4,18031  310.5,15018  574.8,17725  378.8,19842  937.3,20577  402.4,22926  395.7,24942  077.7,25947  962.6,26364  733.8,28061  133.8,32794  198.5,32441  526.0,36150  804.8,41892  770.2,47156  148.1,44375  102.0,49130  845.8
Developed economies,1692  574.6,1930  711.8,1896  451.3,2023  878.3,2219  620.3,2735  978.8,3172  450.2,3636  059.0,4730  334.8,5574  726.3,5860  037.6,5765  485.2,5688  813.1,7235  724.2,8401  743.1,8907  845.0,10958  018.5,13701  518.2,10977  650.3,12879  236.8,13778  925.5,14144  673.3,15589  071.9,17142  741.6,17560  068.4,17814  206.1,18966  549.2,22471  883.7,21837  185.0,24807  729.8,30006  575.5,32855  484.7,29591  913.0,33434  653.3
Europe,932  316.0,1029  067.7,972  857.8,1016  138.8,1189  832.6,1412  389.2,1589  863.0,1674  419.5,2202  852.9,2335  617.1,2491  244.0,2621  000.7,3033  369.0,3904  842.7,4594  103.2,4921  591.5,6337  622.1,8360  208.4,7170  326.0,8139  409.2,8371  973.6,8734  873.4,9590  331.1,10125  861.3,10005  898.2,10188  070.5,10383  533.4,12364  471.2,12160  302.5,13032  186.4,16995  057.5,16812  979.6,16110  676.1,17266  928.0
European Union,681  628.1,768  736.4,752  784.0,783  659.1,931  123.1,1129  681.9,1275  843.5,1322  130.2,1749  205.4,1820  419.7,1882  784.8,1945  114.1,2274  807.2,2991  312.7,3487  323.1,3652  405.5,4601  236.7,6162  031.8,5355  404.9,5960  055.9,5902  599.0,6133  527.0,6573  914.7,6976  082.9,7116  127.6,7319  029.1,7255  349.5,8628  193.6,8390  703.1,8969  039.3,12464  888.6,12185  492.7,11672  193.6,12453  733.1
Austria,11  606.1,11  989.9,12  029.8,11  918.6,14  515.9,19  000.7,19  579.4,19  790.1,23  470.9,23  471.1,31  164.9,34  999.3,44  895.5,57  636.4,70  713.7,82  551.4,109  050.3,159  552.0,145  794.8,169  124.6,160  615.5,152  769.0,164  713.8,178  825.2,175  756.0,159  718.5,150  651.3,191  438.0,185  191.9,193  533.8,206  082.2,210  197.0,206  490.0,226  276.0
Belgium,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,378  156.4,481  355.9,810  944.2,407  403.3,458  295.3,473  357.8,484  119.7,561  811.3,625  200.8,556  044.7,549  340.8,517  412.0,580  175.8,502  433.4,583  746.5,609  616.3,563  793.5,531  007.0,577  961.3
Belgium / Luxembourg,58  387.8,70  163.1,75  678.1,94  295.2,105  881.0,112  960.0,123  883.0,128  728.0,180  492.0,179  924.0,195  219.0,203  537.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Bulgaria,  112.3,  168.2,  209.7,  249.7,  355.1,  445.5,  554.5,1  059.3,1  596.6,2  183.8,2  703.7,2  945.3,4  117.8,6  371.3,10  107.8,13  869.1,23  482.6,37  935.6,44  058.7,49  225.4,44  970.1,45  679.5,48  615.3,50  302.0,45  461.5,43  472.1,42  945.6,50  924.8,50  431.9,51  741.4,59  730.0,57  880.0,57  475.1,61  945.3
Croatia,  0.0,  0.0,  129.2,  273.4,  387.9,  495.9,  988.5,2  135.9,1  931.9,2  564.1,2  785.2,3  544.4,5  507.1,7  664.7,11  435.2,13  683.8,24  872.2,42  296.3,28  740.5,33  984.2,32  925.4,29  566.4,30  833.1,31  288.6,31  191.7,25  662.8,27  550.5,33  538.0,32  895.2,35  994.5,38  417.8,39  180.2,38  365.1,42  909.3
Cyprus,-  849.1,-  767.3,-  659.9,-  576.5,-  501.3,-  125.5,  303.4,  849.9,1  195.3,2  008.3,2  845.9,3  774.6,4  813.2,6  754.9,108  108.3,102  649.2,131  972.5,172  407.7,180  528.0,247  446.6,260  131.6,283  473.5,349  620.5,385  812.6,385  233.5,387  751.8,388  593.2,450  039.0,434  498.4,481  743.6,490  879.8,57  957.8,63  536.7,90  804.1
Czechia,1  363.0,1  886.0,2  787.1,3  423.1,4  546.8,7  350.1,8  572.4,9  233.8,14  375.1,17  552.1,21  643.7,27  092.2,38  669.2,45  286.6,57  258.9,60  662.3,79  841.0,112  408.0,113  173.5,125  827.4,128  504.1,120  569.3,136  493.2,134  084.6,121  511.8,116  627.8,121  854.6,155  994.1,164  224.5,171  333.7,195  239.7,200  467.6,206  337.7,216  595.2
Denmark,9  191.8,14  712.1,14  387.3,14  617.9,18  083.2,23  800.9,22  340.0,22  267.8,35  693.9,47  642.9,73  574.0,75  438.5,82  799.1,100  191.4,71  706.6,72  402.3,89  727.3,107  609.9,100  638.6,102  301.7,96  136.3,98  121.6,97  925.0,93  898.0,95  766.4,91  978.9,99  403.5,115  887.4,117  652.7,128  998.0,143  824.5,124  388.8,116  290.6,125  051.0
Estonia,  0.0,  10.4,  92.3,  255.1,  472.1,  673.8,  821.5,1  161.3,1  821.6,2  465.3,2  645.4,3  148.9,4  231.0,7  013.7,10  044.6,11  192.0,12  119.3,15  670.6,15  448.8,15  840.6,15  551.1,16  349.7,18  936.5,21  779.8,20  375.7,18  446.8,19  119.0,23  323.2,24  316.3,27  377.1,33  589.2,34  586.8,34  289.5,40  489.9
Finland,4  276.5,3  933.9,3  940.4,4  576.8,6  588.2,8  155.0,8  609.5,9  593.7,16  455.1,18  320.3,24  272.6,24  070.3,33  987.1,50  256.5,57  379.1,54  801.8,70  568.7,91  702.6,83  533.6,85  163.1,86  697.9,89  231.5,96  640.8,88  805.7,93  052.3,81  657.6,79  932.1,89  984.6,72  072.1,85  821.0,90  467.9,86  166.0,82  980.4,149  649.1
France,104  267.9,116  664.9,129  993.8,135  445.7,163  851.1,233  126.5,314  647.1,328  950.7,454  046.4,597  283.0,184  215.0,195  513.3,251  728.8,345  576.8,403  440.7,371  447.5,493  763.3,623  625.4,563  005.0,648  012.3,630  710.4,698  871.1,680  409.5,788  373.1,703  566.7,686  911.3,688  669.2,828  676.2,800  886.5,833  848.3,957  362.4,944  582.4,947  200.1,1012  705.1
Germany,226  551.9,252  057.3,234  459.3,223  671.9,265  099.4,312  576.2,316  600.5,314  305.6,403  621.8,235  254.2,470  937.7,424  308.0,538  018.5,686  716.8,727  999.3,640  058.1,799  246.9,952  220.1,914  509.3,963  511.0,955  881.4,997  726.6,1077  018.7,967  687.7,859  565.0,781  717.5,794  527.1,963  098.8,940  576.8,963  565.9,1153  099.0,1105  366.9,1091  561.2,1128  258.9
Greece,5  680.8,6  815.8,7  959.8,8  936.8,9  917.8,10  970.8,12  028.8,13  012.8,13  084.0,15  890.0,14  112.8,13  941.3,15  560.6,22  453.6,28  481.5,29  189.3,41  288.0,53  220.8,38  118.6,42  097.2,35  025.8,29  059.7,24  765.1,25  849.8,21  550.3,24  081.2,24  615.4,33  403.3,35  743.5,45  158.4,39  085.6,43  479.4,50  578.2,61  592.5
