"Annex table 6. Value of net cross-border M&As by region/economy of purchaser, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World, 98 049.6, 58 884.9, 46 939.5, 43 495.6, 93 877.3, 109 937.6, 141 170.4, 187 306.7, 349 728.3, 559 539.3, 959 681.2, 431 756.5, 243 734.7, 165 425.4, 198 597.5, 535 035.3, 619 808.8,1 032 688.9, 617 648.6, 287 617.2, 347 093.9, 553 442.3, 328 224.0, 262 516.5, 428 126.5, 735 125.7, 886 901.4, 693 962.0, 815 725.7, 507 396.1, 474 864.0, 737 452.1, 706 572.0, 378 370.2
Developed economies, 84 725.9, 48 850.6, 33 863.3, 34 469.6, 81 641.0, 101 355.8, 125 739.4, 170 650.3, 326 356.6, 542 445.8, 896 562.8, 397 146.5, 211 152.6, 143 624.0, 159 975.4, 453 298.7, 501 084.0, 892 535.3, 493 495.5, 205 603.6, 238 626.3, 441 302.4, 198 151.8, 127 783.9, 251 961.6, 593 439.9, 707 428.8, 490 552.1, 708 057.5, 479 341.7, 393 222.9, 672 645.4, 633 867.2, 295 949.3
Europe, 57 762.1, 30 686.7, 25 136.1, 17 255.2, 59 581.5, 60 241.3, 71 156.2, 95 423.1, 195 857.2, 384 549.3, 724 771.8, 241 392.8, 146 878.5, 53 923.2, 75 368.6, 320 876.3, 309 008.7, 610 146.7, 390 536.8, 140 039.1, 48 177.4, 178 020.0, 50 421.8,- 26 288.6, 48 177.2, 316 944.0, 435 150.4, 210 783.6, 342 728.0, 181 627.6, 208 747.8, 283 934.1, 155 850.0, 98 607.0
European Union, 47 607.5, 21 151.1, 21 758.8, 8 270.9, 25 657.5, 46 099.4, 42 331.9, 55 350.4, 143 336.4, 253 662.2, 319 518.8, 185 894.8, 94 230.7, 12 060.3, 33 384.2, 231 563.9, 253 376.6, 307 815.1, 269 253.5, 92 741.9, 26 959.2, 72 383.6, 21 116.0, 29 732.0, 97 099.1, 232 584.8, 370 581.0, 46 148.0, 231 668.8, 135 633.9, 119 560.4, 218 821.8, 98 018.7, 70 799.1
Austria,  291.1,  190.0,  30.7,-  380.7,-  10.7,  7.1,  8.3,  7.5, 1 467.3,  768.5, 2 001.8,  298.2,  348.3, 1 437.3, 1 243.4, 3 719.9, 7 085.8, 5 923.4, 3 243.1, 3 308.6, 1 524.6, 3 732.7, 1 835.4, 10 720.9,  331.6, 4 773.3, 16 894.4,-  310.1, 4 055.0, 5 471.9, 3 023.8, 1 528.0,- 1 007.4,  680.7
Belgium,  641.9,  973.0, 1 023.5,  61.2,  728.4, 4 126.2,  15.5, 1 190.8, 2 313.3, 13 933.7, 17 626.1, 15 067.2,  656.1, 1 902.4,- 3 535.2, 5 413.8, 3 274.5, 9 268.5, 30 774.9,- 9 803.9,  476.7, 7 841.2,- 1 353.9, 13 250.8, 4 596.1, 5 589.9, 101 060.2,- 8 771.0,  410.0, 2 566.6,- 8 050.7, 1 880.2, 6 569.5,- 7 403.8
Bulgaria,-,-,-,-,-,-,-,-,-,-,  1.5,-,  1.9,-,  32.0,-,-,  20.1,  39.3,  1.9,  17.4,-,-,-  0.1,  10.5,  1.2,  40.0,  34.5,-,  93.7,  2.7,-,  10.0,  15.2
Croatia,-,-,-,-,-,  0.9,  1.0,  99.9,  21.3,  34.6,  23.9,  79.0,  168.0,  35.4,  4.4,-  125.0,  3.3,-,  12.3,  7.9,  325.3,-,-,  5.4,  233.6,-,  46.0,-,-,-,-  4.7,  462.6,  11.0,  6.3
Cyprus,-,-,-,  1.0, 1 259.9,-,  40.7, 2 270.1,-,  95.5,  35.5,  34.0,  74.9,  8.2,- 1 332.8,-  80.8, 1 241.3, 5 879.2, 8 874.9,  646.8,-  561.9, 5 765.6, 8 060.3, 3 617.6, 4 046.6,  968.5,- 1 154.6,-  517.7,-  875.8,  716.1, 1 149.7,  474.4,- 1 465.7, 1 285.1
Czechia,-,-,  54.0,-  19.3,-,-  3.1,  138.6,  41.0,-  53.1,  0.5,-  80.0,-,-  7.5,-  29.0,  344.6,  579.1,  812.0,  572.0,  72.3, 1 572.7,  13.7,  24.7,  474.2, 3 998.3,  1.3,-  6.9,  26.1,  43.8,  153.8,  245.6,  301.8,  514.7, 1 456.9, 1 720.3
