"Annex table 10. Value of cross-border M&A purchases, by sector/industry, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,98 050,58 885,46 939,43 496,93 877,109 938,141 170,187 307,349 728,559 539,959 681,431 757,243 735,165 425,198 597,535 035,619 809,1032 689,617 649,287 617,347 094,553 442,328 224,262 517,428 126,735 126,886 901,693 962,815 726,507 396,474 864,737 452,706 572,378 370
Primary,4 714,- 217, 814,1 832,4 932,7 834,12 859,4 727,14 096,19 403,37 363,52 477,44 982,16 886,1 914,72 273,36 663,120 129,47 927,27 914,46 838,93 254,3 309,-52 580,13 319,7 700,9 324,-2 174,29 612,51 896,8 385,26 931,118 235,30 212
Agriculture, 527, 357,- 81,- 859,- 41, 32, 358,1 131, 794, 191, 840,- 504, 118,- 144,- 52,-1 061,- 339,1 078,2 173,1 784, 408, 366,-1 423, 307,- 225,7 633, 125,-1 011,- 860,-1 493,1 005, 167, 346,1 063
Extractive industries,4 186,- 574, 895,2 691,4 973,7 802,12 501,3 595,13 301,19 212,36 522,52 981,44 864,17 031,1 966,73 334,37 002,119 052,45 754,26 130,46 430,92 888,4 732,-52 887,13 544, 66,9 199,-1 163,30 471,53 389,7 380,26 764,117 889,29 149
Manufacturing,45 168,30 167,13 353,12 900,54 798,44 795,35 317,70 291,126 887,143 259,205 787,95 109,48 964,50 643,53 961,116 048,153 605,213 120,133 981,38 142,127 792,222 833,137 818,108 364,186 855,367 727,398 243,270 808,242 276,169 982,198 267,202 193,84 718,112 247
"Food, beverages and tobacco",4 200,1 642,2 063,3 581,8 118,12 456,3 426,13 467,-1 711,19 682,52 399,4 159,15 343,16 368,8 341,21 996,9 502,35 211,-43 041,- 467,33 620,31 541,31 671,40 207,30 121,28 055,121 471,75 237,40 314,15 122,86 273,12 417,11 942,9 575
"Textiles, clothing and leather",- 276, 268,- 498, 294, 275, 243, 414, 690,2 259, 974,- 248,- 39, 511, 453, 266,3 242, 494,-1 946,- 51, 546,2 963,2 449,2 508,1 883,1 037,-12 267,3 405,2 055,1 223,3 786, 263,1 486, 563,- 106
Wood and wood products,2 246, 2, 607, 36,- 7, 349,1 494, 952, 461, 883,1 698,4 026, 73, 150, 855, 155, 880,1 533, 521, 225, 382, 118, 216, 486, 583, 512,- 20, 52, 999, 440, 126, 746, 224, 110
Paper and paper products,2 599,2 807,- 125,1 049,1 521,4 691, 869,1 966,4 984,3 354,14 844,4 698,3 649,1 527,-2 488, 620,1 145,1 247,- 114,1 200,8 006,3 630,3 373,2 281,2 515,2 044,3 241,5 630,1 543,7 492,2 410,6 599,2 946,3 137
Printing, 64, 460, 259, 199, 329, 20, 123,1 133, 443,3 205, 203, 902, 215, 127, 10,1 822,- 93, 78,- 284, 30, 906,- 112, 65, 61, 239, 220, 50,1 370, 295, 448, 138, 20, 93, 5
Coke and refined petroleum, 820,- 116,- 53,- 236, 186, 990,-3 334,- 642,5 393,14 145,- 995,6 028,-2 422,- 438, 308,- 133,6 296,7 202,-3 333,- 844,-6 802,-2 673,-3 748,-2 049,-17 902,8 104,67 771,-10 310,-3 249,-7 952,-11 456,-23 867,-6 481,-4 036
Chemicals,10 555,1 465,2 649,2 849,14 461,12 660,5 283,22 452,8 779,29 595,17 655,3 459,11 980,10 435,10 484,11 133,21 039,21 158,30 335,6 078,6 597,31 662,20 209,12 507,28 781,19 275,38 486,68 915,111 265,20 090,19 755,30 555,12 822,25 749
Pharmaceuticals,2 206,1 952, 699, 747,14 895,8 750,7 651,4 476,13 719, 810,2 498,11 873, 959,4 052,8 232,17 730,21 668,68 169,30 466,20 339,40 277,58 041,21 276,23 077,47 321,151 371,107 795,23 869,46 732,94 622,45 485,78 747,40 533,36 299
Rubber and plastics products,1 323,1 115, 225, 263,-1 191, 328, 231,2 358,-4 107,1 496,1 371, 228, 774,1 505, 322,- 332,5 856,1 691, 461,- 285, 127,1 367, 570, 381,2 457,1 714,2 948,2 983,2 581,2 559, 400,-1 950,2 152,3 645
Non-metallic mineral products,4 314, 398,3 454,4 306,1 728, 907, 51,3 262,5 294,9 223,17 051,8 474,2 538,1 015,3 838,17 938,6 349,17 502,23 126,- 567,5 198,1 663, 755,3 622,2 098,25 537,8 895,2 288,6 575,3 312, 192, 722,-3 631,3 043
