"Annex table 14. Value of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World, 771 153, 649 988, 634 607, 819 282, 779 512,1 296 907, 953 063, 829 520, 864 780, 637 469, 811 481, 718 858, 766 525, 817 744, 712 855,1 066 495, 908 193, 640 585, 829 693,1 309 067,1 380 401
Developed economies, 321 038, 265 052, 284 210, 357 008, 352 924, 503 149, 372 034, 347 061, 340 269, 275 498, 311 132, 273 800, 310 207, 286 719, 340 917, 454 086, 430 103, 343 853, 536 858, 687 018, 630 989
Europe, 160 332, 168 744, 191 277, 244 145, 261 631, 372 550, 242 007, 196 601, 194 018, 162 885, 173 960, 147 839, 181 232, 169 716, 194 394, 261 599, 253 933, 217 076, 321 247, 391 326, 358 482
European Union, 106 022, 114 578, 122 851, 172 460, 176 386, 228 037, 135 553, 121 714, 115 782, 88 442, 99 221, 78 392, 95 457, 105 112, 132 493, 181 885, 178 509, 150 811, 227 166, 265 275, 262 327
Austria, 4 596, 2 972, 3 886, 1 812, 3 120, 3 061, 1 670, 2 036, 2 990, 1 350,  929, 1 545, 1 479, 1 836, 2 015, 5 071, 2 547, 1 591, 2 032, 3 574, 2 701
Belgium, 1 975, 4 098, 4 102, 4 608, 6 763, 10 249, 3 605, 5 834, 2 817, 2 434, 3 749, 5 084, 3 954, 5 483, 4 537, 6 651, 9 015, 5 467, 7 682, 7 504, 5 011
Bulgaria, 3 310, 3 642, 4 107, 15 419, 7 196, 10 555, 4 262, 3 221, 5 203, 2 552, 1 485, 1 317, 2 017, 1 070, 2 279, 3 296, 2 239, 1 074, 1 196, 2 183, 3 622
Croatia, 1 079,  556, 1 091,  536, 1 706, 2 849, 1 526, 2 305, 2 067,  987,  869,  794,  526,  453,  570,  980, 1 519,  675, 1 101, 2 036, 2 355
Cyprus,  154,  161,  120,  369,  384,  585,  237,  718,  448,  88,  156,  18,  344,  126,  91, 1 023,  235,  165,  229,  544,  250
Czechia, 3 925, 5 070, 4 379, 6 886, 6 370, 4 916, 3 913, 6 180, 4 481, 3 387, 3 805, 2 112, 3 560, 3 167, 3 529, 3 465, 2 407, 2 607, 3 558, 2 447, 3 001
Denmark, 1 593, 1 662, 1 580, 1 561, 1 831, 1 202, 1 634,  889,  571,  796,  442,  628, 1 870,  812, 1 568, 1 753, 1 298, 2 697, 2 394, 4 661, 2 286
Estonia,  614, 1 194, 1 702,  935,  801, 1 300, 1 119,  838,  728,  631,  826,  275,  550,  225,  176, 1 128,  596,  645,  854,  402,  901
Finland, 1 135, 1 046, 1 398, 1 449, 1 365, 2 137, 1 223, 1 319, 1 836, 1 496, 1 956, 1 369, 1 999, 4 987, 2 413, 2 075, 2 567, 2 566, 2 643, 3 110, 5 843
France, 3 511, 6 186, 11 083, 17 424, 18 986, 24 168, 12 757, 8 429, 9 500, 8 799, 9 991, 7 778, 9 007, 14 783, 14 978, 19 921, 19 266, 16 468, 14 658, 22 241, 31 428
Germany, 17 119, 9 790, 13 002, 14 951, 14 265, 26 990, 17 180, 15 178, 17 044, 11 196, 11 740, 8 851, 15 242, 14 020, 19 334, 24 098, 28 288, 28 797, 62 937, 47 432, 56 723
Greece, 1 122, 2 245,  871, 1 439, 3 111, 4 692, 1 842, 1 108, 1 937, 1 613, 3 969,  867,  160, 1 089,  920,  996, 1 929, 2 805, 2 205, 1 892, 1 206
Hungary, 6 262, 5 221, 8 250, 8 912, 9 480, 9 173, 3 933, 7 769, 3 491, 2 522, 2 633, 2 343, 2 776, 4 815, 3 156, 5 065, 8 282, 3 822, 6 307, 12 511, 9 237
Ireland, 6 057, 8 425, 7 547, 5 554, 4 605, 7 765, 5 078, 4 203, 7 528, 5 529, 6 134, 5 732, 5 596, 7 131, 12 811, 11 918, 14 133, 10 634, 9 570, 25 801, 9 797
Italy, 4 855, 7 218, 6 727, 9 813, 10 070, 10 920, 10 178, 10 083, 5 043, 5 511, 3 892, 4 759, 5 061, 5 891, 6 153, 7 628, 10 976, 10 145, 20 134, 24 921, 27 585
Latvia, 3 139,  695, 1 290, 3 075,  635, 2 478,  795,  670,  508,  831,  500,  256,  286,  247,  420, 1 255,  939,  975,  833,  851, 2 127
Lithuania, 1 050,  597, 1 292, 1 188, 1 341, 1 444, 1 093, 1 270,  632, 1 052,  939,  590,  805,  638, 1 214, 2 063, 1 944, 1 156, 2 275, 1 087, 1 931
Luxembourg,  346,  649,  92,  217,  645,  297,  738,  709,  268,  191,  247,  218,  86,  429, 2 224,  870,  463,  761,  692,  514,  509
Malta,  65,  57,  160,  783,  290,  320,  379,  312,  186,  222,  218,  254,  37,  329,  740,  337,  426,  99,  292,  192,  50
Netherlands, 3 159, 3 929, 3 488, 5 238, 6 664, 8 916, 9 903, 8 278, 5 892, 4 152, 13 005, 7 755, 10 676, 6 017, 10 219, 11 212, 9 502, 6 976, 8 921, 9 378, 8 088
Poland, 9 743, 14 118, 14 055, 15 552, 17 884, 28 257, 13 199, 10 761, 10 804, 11 214, 9 473, 8 130, 6 201, 11 121, 16 076, 20 247, 24 136, 23 758, 23 530, 18 026, 22 920
Portugal, 5 132, 10 541,  821, 4 368, 6 489, 6 666, 5 582, 2 729, 1 732, 1 294, 1 346, 1 006, 1 300, 1 460, 1 745, 4 161, 3 978, 3 709, 7 394, 5 443, 7 549
Romania, 3 510, 4 374, 9 558, 19 398, 21 193, 29 113, 14 266, 7 494, 11 901, 8 671, 8 275, 5 318, 4 256, 3 880, 5 485, 6 387, 6 018, 3 791, 5 486, 13 558, 10 589
Slovakia, 3 055, 4 223, 9 031, 9 260, 5 774, 2 894, 3 340, 3 876, 5 361, 1 491, 2 109, 1 244, 3 914, 1 700, 2 823, 2 269, 2 058, 2 417, 3 216, 3 862, 2 166
Slovenia,  483, 1 851,  414,  656,  665,  558,  289,  638,  421,  447,  299,  209,  157,  398,  482,  730,  477,  479,  109,  448,  986
Spain, 15 952, 10 261, 9 753, 18 017, 20 364, 23 841, 13 072, 12 717, 9 289, 8 844, 9 133, 7 748, 11 749, 10 470, 14 781, 34 523, 21 351, 14 156, 33 840, 47 519, 34 557
Sweden, 3 083, 3 797, 3 054, 3 042, 4 391, 2 691, 2 741, 2 152, 3 105, 1 142, 1 103, 2 193, 1 849, 2 535, 1 753, 2 764, 1 919, 2 379, 3 077, 3 140, 8 907
Other Europe, 54 309, 54 167, 68 426, 71 686, 85 245, 144 513, 106 454, 74 888, 78 235, 74 443, 74 739, 69 446, 85 776, 64 604, 61 901, 79 714, 75 424, 66 265, 94 081, 126 051, 96 155
Albania,  295,  135,  660,  445, 4 458, 3 457,  115,  58,  431,  302,  62,  50,  137,  34,  13,  219,  57,  343,  249,  170, 1 049
Andorra,-,  9,-,-,-,-,  22,  11,-,  0,  22,  22,  4,  36,  50,  5,  127,-,  13,  27,  4
Belarus,  863,  220,  779,  838,  394,  589, 1 143, 1 780, 1 059,  587, 1 011,  351,  806,  656,  775, 1 466,  517,  689,  359,  155, 1 143
Bosnia and Herzegovina,  896,  471, 2 312,  640,  599, 1 984, 1 316,  291, 1 235, 1 149,  827,  976, 3 089,  822,  639,  737,  532,  465,  356,  693, 1 905
Iceland,  670,  106,  2,  129,  44,  74,-,  598,  194,  124,  387,  374,  302,  13,  181,  706,  45,  321,  171,  133,  18
Liechtenstein,-,-,  31,-,  65,  4,-,  8,-,-,  112,  75,-,-,  20,  4,  17,  13,  32,-,-
Monaco,  34,  16,  16,  39,  73,  82,  65,  45,  113,  39,  13,  6,  50,  26,  83,  28,  88,  36,  30,  52,  82
Montenegro,  76,-,-,  131,  695,  990,  120,  510,  388,  370,  852, 1 136,  43,  614,  49, 2 009,  572,  581,  103,  140, 1 702
North Macedonia,  274,  160,  266, 1 677,  534, 2 662,  775,  414,  809,  984,  591,  852,  354,  339,  135,  917,  287,  137, 1 025,  623,  592
Norway, 2 844,  864, 1 826,  761,  618, 3 115, 2 358, 2 280,  798,  448, 1 616,  608,  394, 1 067, 1 099, 1 071, 1 817, 1 272, 1 794, 2 435, 3 875
Republic of Moldova,  138,  590,  461,  130,  165,  153,  493,  271,  329,  134,  266,  100,  550,  219,  103,  141,  131,  134,  71,  243,  238
Russian Federation, 21 584, 23 195, 33 099, 24 733, 35 806, 44 981, 25 642, 28 815, 25 354, 15 977, 17 198, 13 017, 14 529, 13 906, 16 919, 18 313, 22 969, 8 050, 14 928,  299, 1 197
Serbia,  988,  918, 1 104, 3 228, 2 689, 6 315, 3 034, 3 710, 3 667, 4 435, 4 094, 2 040, 4 529, 2 132, 4 128, 7 004, 4 391, 2 108, 3 226, 4 438, 11 190
Switzerland, 1 699, 1 579, 1 341, 2 304, 4 476, 5 071, 3 240, 3 299, 2 213, 2 183, 1 976, 2 856, 2 060, 2 432, 2 061, 2 945, 2 177, 3 124, 3 240, 8 373, 2 077
Ukraine, 2 844, 3 350, 5 597, 4 877, 6 996, 7 533, 4 428, 4 111, 2 933, 2 727, 3 762,  970,  620, 1 337, 1 664, 3 577, 1 877, 2 687, 2 555, 1 032, 5 676
United Kingdom, 21 102, 22 548, 20 747, 31 560, 27 415, 66 065, 63 565, 28 619, 38 562, 44 960, 41 866, 46 013, 58 294, 40 935, 33 938, 40 351, 39 762, 46 301, 65 807, 107 133, 65 224
North America, 56 113, 47 191, 66 138, 57 364, 55 093, 75 545, 94 643, 83 004, 107 745, 82 033, 98 828, 87 900, 92 412, 75 556, 107 720, 138 992, 122 231, 89 249, 133 780, 198 607, 178 076
Canada, 25 510, 15 640, 29 371, 15 711, 8 726, 17 044, 16 816, 19 655, 30 024, 12 892, 19 369, 18 600, 13 133, 11 474, 17 679, 51 703, 13 509, 17 506, 24 501, 23 479, 36 283
Greenland,  181,  112,-,-,-,-,-,  412,-,-,  4,-,-,-,-,-,-,  73,-,-,-
United States, 30 422, 31 439, 36 767, 41 653, 46 367, 58 501, 77 827, 62 937, 77 721, 69 141, 79 455, 69 300, 79 279, 64 082, 90 041, 87 289, 108 722, 71 670, 109 279, 175 127, 141 793
Other developed economies, 104 594, 49 117, 26 795, 55 498, 36 200, 55 053, 35 384, 67 456, 38 506, 30 580, 38 345, 38 061, 36 563, 41 447, 38 803, 53 494, 53 940, 37 529, 81 831, 97 086, 94 431
Australia, 75 093, 26 233, 10 340, 37 382, 17 661, 31 817, 21 206, 54 718, 20 737, 15 352, 14 114, 16 607, 15 922, 21 115, 17 151, 22 888, 35 184, 20 705, 14 475, 70 111, 44 121
Israel, 1 306, 1 604, 4 832,  919,  457,  881, 3 356,  883,  752, 1 228, 1 987,  375,  250, 1 096, 7 133, 6 561, 1 066, 1 647, 27 964, 1 832,  662
Japan, 7 762, 9 163, 2 926, 7 987, 6 049, 9 823, 5 754, 6 615, 5 019, 4 896, 10 827, 9 404, 9 839, 9 076, 7 753, 12 725, 9 468, 8 662, 24 785, 9 042, 30 831
New Zealand, 1 233,  527,  946, 1 549, 2 050, 1 860,  652,  399, 1 945, 1 176, 1 389, 1 295, 1 613,  814, 1 450, 2 356, 4 150, 1 978, 7 405, 2 241, 1 554
Republic of Korea, 19 170, 11 590, 7 721, 7 653, 9 945, 10 673, 4 415, 4 679, 10 048, 7 876, 10 010, 10 280, 8 939, 9 312, 5 284, 8 941, 4 052, 4 501, 7 152, 13 777, 17 132
Bermuda,  31,-,  31,  8,  38,-,  1,  162,  6,  50,  17,  100,-,  33,  33,  24,  20,  36,  50,  83,  130
