"Annex table 15. Value of announced greenfield FDI projects, by sector/industry, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,
Sector/industry,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total, 771 153, 649 988, 634 607, 819 282, 779 512,1 296 907, 953 063, 829 520, 864 780, 637 469, 811 481, 718 858, 766 525, 817 744, 712 855,1 066 495, 908 193, 640 585, 829 693,1 309 067,1 380 401
Primary, 186 828, 83 823, 113 368, 64 211, 49 996, 142 174, 129 260, 61 653, 80 734, 29 452, 46 569, 44 044, 36 460, 55 572, 24 247, 57 903, 26 904, 35 599, 14 430, 108 341, 66 128
"Agriculture, forestry and fishing", 1 836,  124, 1 470, 2 413, 1 135, 2 057, 8 698, 1 338, 4 867, 3 619, 3 946,  875, 2 482, 1 355, 3 277, 3 054, 2 329, 2 708, 1 775, 1 085, 1 538
Extractive industries, 184 992, 83 699, 111 898, 61 799, 48 861, 140 117, 120 562, 60 315, 75 866, 25 833, 42 622, 43 169, 33 979, 54 216, 20 970, 54 849, 24 575, 32 891, 12 655, 107 256, 64 589
Manufacturing, 379 807, 344 294, 292 165, 404 506, 349 088, 508 985, 373 180, 441 544, 436 057, 287 074, 325 402, 333 136, 332 326, 301 190, 348 764, 507 480, 411 718, 246 688, 384 666, 485 263, 611 088
"Food, beverages and tobacco", 12 682, 13 337, 8 847, 12 042, 13 261, 22 042, 24 451, 16 302, 20 893, 18 859, 22 077, 22 814, 23 380, 21 266, 28 638, 29 804, 23 621, 17 935, 19 251, 19 309, 19 857
"Textiles, clothing and leather", 8 759, 11 705, 8 600, 11 281, 12 753, 15 911, 20 233, 20 326, 19 029, 13 951, 26 927, 30 197, 25 224, 24 213, 25 679, 23 958, 22 222, 10 876, 12 411, 12 470, 17 062
Wood products, 3 264, 2 184, 3 111, 1 085, 2 998, 3 204, 1 660, 2 285,  880,  433, 1 074, 1 174, 1 915, 1 983, 1 655, 1 680, 1 953, 1 395, 1 903, 3 643, 1 489
Paper and paper products, 13 323, 11 208, 9 314, 7 661, 10 853, 15 841, 3 090, 7 087, 12 794, 3 684, 3 628, 4 662, 4 457, 3 735, 9 516, 9 633, 13 783, 6 506, 5 484, 3 934, 3 398
Printing, 1 081, 1 171,  647,  736, 1 087, 1 514,  137,  255,  14,  82,  240,  122,  108,  506,  205,  382,  136,  136,  97,  55,  310
Coke and refined petroleum, 84 941, 54 395, 36 051, 95 354, 44 760, 88 693, 71 980, 78 814, 59 019, 15 730, 21 468, 25 384, 37 554, 21 155, 16 337, 89 936, 87 006, 29 512, 6 774, 18 348, 57 910
Chemicals, 54 529, 47 659, 28 632, 49 358, 28 959, 61 418, 43 777, 51 169, 71 650, 50 443, 50 291, 43 964, 39 467, 44 951, 64 941, 96 366, 50 601, 35 174, 24 580, 26 745, 56 559
Pharmaceuticals, 12 140, 10 918, 7 678, 11 169, 13 219, 10 545, 14 433, 11 016, 10 950, 7 320, 10 592, 13 366, 13 761, 12 758, 15 474, 17 507, 15 471, 15 796, 21 713, 22 013, 20 300
Rubber and plastics products, 8 056, 10 350, 9 334, 8 756, 10 333, 11 683, 12 771, 16 313, 19 473, 10 221, 15 119, 8 865, 9 933, 9 521, 12 143, 12 739, 11 410, 5 559, 6 407, 10 928, 12 927
Other non-metallic mineral products, 8 803, 10 572, 13 900, 18 980, 19 341, 34 095, 11 046, 11 073, 15 870, 7 261, 12 825, 9 862, 12 718, 8 641, 11 225, 13 650, 13 214, 6 078, 11 831, 9 797, 32 335
Basic metal and metal products, 25 939, 30 259, 42 389, 30 882, 47 226, 65 162, 21 359, 40 737, 41 644, 26 985, 37 151, 22 294, 26 877, 22 380, 17 905, 31 666, 17 729, 8 707, 13 749, 49 033, 69 579
Electronics and electrical equipment, 59 812, 66 847, 50 706, 72 048, 50 152, 55 773, 50 156, 65 892, 51 307, 30 965, 36 999, 37 100, 46 393, 46 291, 53 285, 66 818, 56 914, 49 239, 192 678, 214 518, 182 574
Machinery and equipment, 6 732, 6 871, 10 359, 9 244, 12 808, 19 795, 17 114, 17 676, 21 948, 12 828, 12 099, 13 478, 12 578, 9 620, 11 961, 13 136, 13 663, 7 780, 9 490, 14 815, 23 424
Automotive, 73 141, 60 321, 56 022, 65 755, 69 767, 87 268, 64 592, 88 207, 78 075, 73 413, 55 967, 83 163, 62 628, 55 758, 61 277, 79 445, 65 998, 38 039, 40 846, 60 567, 90 979
Furniture, 1 571, 2 026, 2 200, 2 795, 4 593, 4 987, 4 050, 3 048, 2 965, 4 674, 4 812, 5 347, 3 962, 4 370, 6 654, 7 805, 6 649, 5 255, 6 419, 5 057, 7 672
