"Annex table 17. Number of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World, 9 493, 10 395, 10 834, 12 849, 12 985, 17 241, 14 828, 15 496, 16 967, 15 726, 16 785, 15 993, 15 660, 15 987, 16 909, 19 990, 19 782, 13 547, 15 514, 18 061, 18 442
Developed economies, 4 965, 5 517, 6 260, 7 245, 7 553, 9 086, 7 798, 8 613, 8 943, 8 439, 9 172, 9 011, 9 240, 9 542, 10 747, 12 283, 12 226, 9 149, 10 438, 11 112, 10 435
Europe, 3 620, 4 203, 4 996, 5 783, 5 864, 7 088, 5 554, 5 937, 5 988, 5 605, 6 023, 5 698, 6 348, 6 521, 7 639, 8 755, 8 688, 6 412, 7 545, 7 676, 7 041
European Union, 2 479, 2 951, 3 447, 4 241, 4 246, 4 905, 3 603, 4 031, 4 052, 3 794, 4 048, 3 919, 4 460, 4 587, 5 528, 6 150, 6 337, 4 881, 5 913, 5 990, 5 419
Austria,  78,  100,  106,  91,  111,  114,  74,  89,  106,  82,  73,  72,  48,  88,  94,  113,  100,  97,  92,  83,  93
Belgium,  68,  118,  163,  136,  212,  185,  118,  151,  131,  114,  148,  160,  225,  183,  215,  233,  225,  218,  272,  286,  187
Bulgaria,  96,  112,  136,  286,  154,  156,  108,  127,  96,  66,  71,  54,  49,  51,  75,  110,  113,  37,  51,  77,  94
Croatia,  47,  40,  45,  39,  32,  41,  35,  46,  52,  43,  40,  34,  59,  25,  30,  71,  104,  40,  30,  34,  55
Cyprus,  8,  7,  5,  17,  8,  18,  10,  18,  11,  5,  9,  4,  10,  9,  6,  13,  13,  6,  17,  38,  20
Czechia,  146,  151,  154,  192,  155,  152,  130,  190,  174,  129,  152,  95,  113,  98,  113,  148,  92,  57,  113,  91,  76
Denmark,  72,  90,  90,  81,  73,  79,  52,  58,  63,  52,  75,  71,  114,  90,  129,  101,  154,  117,  159,  164,  113
Estonia,  30,  43,  64,  56,  32,  44,  26,  27,  30,  32,  20,  32,  11,  19,  13,  27,  30,  30,  22,  20,  29
Finland,  31,  30,  37,  46,  41,  41,  25,  46,  84,  115,  133,  113,  132,  151,  144,  158,  198,  144,  119,  97,  86
France,  161,  239,  507,  600,  603,  718,  432,  394,  357,  419,  581,  527,  617,  644,  917,  889,  879,  596,  624,  780,  654
Germany,  279,  279,  289,  379,  467,  739,  713,  785,  876,  882,  884,  937, 1 239, 1 135, 1 204, 1 276, 1 358, 1 110, 1 399, 1 034, 1 036
Greece,  41,  59,  31,  30,  40,  51,  43,  27,  37,  28,  39,  24,  9,  18,  23,  45,  37,  43,  49,  63,  52
Hungary,  217,  221,  203,  251,  223,  159,  112,  157,  152,  99,  88,  93,  104,  111,  84,  121,  121,  101,  121,  96,  121
Ireland,  130,  135,  191,  144,  119,  183,  176,  189,  238,  181,  184,  206,  203,  214,  240,  254,  242,  252,  294,  333,  256
Italy,  113,  135,  142,  162,  202,  253,  180,  207,  152,  135,  143,  162,  137,  182,  204,  183,  231,  172,  237,  277,  295
Latvia,  43,  30,  83,  110,  33,  52,  29,  24,  20,  15,  21,  21,  10,  13,  24,  43,  38,  30,  19,  20,  35
Lithuania,  42,  23,  67,  64,  48,  52,  36,  43,  40,  45,  48,  46,  51,  53,  69,  94,  71,  66,  58,  69,  49
Luxembourg,  13,  14,  3,  15,  27,  20,  16,  31,  20,  15,  27,  19,  14,  26,  52,  33,  39,  25,  35,  41,  25
Malta,  3,  3,  9,  11,  9,  9,  17,  15,  14,  19,  10,  14,  5,  11,  10,  24,  19,  7,  14,  18,  4
Netherlands,  105,  105,  121,  145,  143,  180,  167,  166,  216,  180,  180,  209,  245,  237,  315,  350,  360,  294,  323,  323,  290
Poland,  165,  243,  277,  350,  363,  412,  252,  323,  315,  325,  269,  255,  250,  318,  433,  480,  463,  472,  514,  510,  454
Portugal,  60,  83,  34,  61,  81,  83,  58,  59,  44,  28,  60,  37,  52,  66,  101,  142,  178,  116,  168,  280,  217
Romania,  120,  183,  264,  388,  380,  365,  212,  236,  253,  207,  225,  196,  188,  152,  209,  244,  262,  157,  176,  193,  204
Slovakia,  66,  89,  120,  117,  110,  89,  62,  103,  92,  67,  80,  44,  38,  53,  50,  49,  44,  28,  46,  48,  47
Slovenia,  25,  24,  20,  24,  23,  24,  12,  26,  20,  17,  10,  14,  19,  19,  19,  29,  24,  12,  11,  12,  20
Spain,  227,  270,  180,  319,  470,  595,  408,  422,  379,  427,  410,  413,  412,  549,  662,  820,  849,  561,  855,  873,  795
Sweden,  93,  125,  106,  127,  87,  91,  100,  72,  80,  67,  68,  67,  106,  72,  93,  100,  93,  93,  95,  130,  112
Other Europe, 1 141, 1 252, 1 549, 1 542, 1 618, 2 183, 1 951, 1 906, 1 936, 1 811, 1 975, 1 779, 1 888, 1 934, 2 111, 2 605, 2 351, 1 531, 1 632, 1 686, 1 622
Albania,  9,  7,  13,  10,  8,  16,  7,  6,  8,  12,  4,  6,  5,  2,  3,  8,  3,  5,  6,  7,  12
Andorra,-,  1,-,-,-,-,  2,  1,-,  2,  9,  5,  1,  4,  9,  1,  4,-,  1,  4,  1
Belarus,  15,  11,  11,  18,  19,  29,  26,  41,  32,  19,  26,  13,  11,  12,  24,  40,  17,  17,  9,  4,  10
Bosnia and Herzegovina,  28,  21,  27,  19,  24,  27,  20,  23,  30,  30,  31,  21,  25,  16,  26,  33,  30,  13,  11,  19,  23
Iceland,  4,  1,  1,  5,  1,  3,-,  3,  2,  1,  2,  3,  2,  2,  14,  8,  5,  5,  3,  4,  4
Liechtenstein,-,-,  1,-,  2,  1,-,  2,-,-,  3,  2,-,-,  2,  1,  2,  1,  3,-,-
Monaco,  2,  1,  1,  2,  3,  7,  3,  5,  6,  3,  4,  2,  4,  3,  5,  3,  9,  5,  6,  7,  10
