"Annex table 18. Number of announced greenfield FDI projects, by sector/industry, 2003–2023",,,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,,
Sector/industry,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Total, 9 493, 10 395, 10 834, 12 849, 12 985, 17 241, 14 828, 15 496, 16 967, 15 726, 16 785, 15 993, 15 660, 15 987, 16 909, 19 990, 19 782, 13 547, 15 514, 18 061, 18 442,
Primary,  433,  314,  439,  219,  174,  418,  397,  230,  251,  175,  197,  133,  131,  114,  141,  221,  161,  104,  105,  128,  149,
"Agriculture, forestry and fishing",  18,  10,  19,  19,  15,  45,  49,  28,  45,  46,  45,  36,  36,  45,  66,  92,  75,  59,  44,  31,  32,
Extractive industries,  415,  304,  420,  200,  159,  373,  348,  202,  206,  129,  152,  97,  95,  69,  75,  129,  86,  45,  61,  97,  117,
Manufacturing, 5 139, 5 578, 5 449, 6 209, 6 205, 7 946, 6 976, 7 864, 8 271, 7 297, 7 977, 7 766, 7 880, 8 125, 8 330, 9 134, 8 813, 5 336, 6 004, 6 142, 7 521,
"Food, beverages and tobacco",  374,  421,  317,  346,  389,  528,  494,  480,  539,  474,  509,  562,  478,  540,  630,  699,  604,  436,  447,  389,  474,
"Textiles, clothing and leather",  423,  626,  487,  627,  691,  956, 1 155, 1 273, 1 170, 1 037, 1 424, 1 429, 1 520, 1 556, 1 547, 1 649, 1 567,  665,  767,  825, 1 071,
Wood products,  54,  46,  56,  37,  38,  52,  31,  26,  22,  16,  22,  37,  47,  32,  37,  35,  30,  21,  28,  25,  33,
Paper and paper products,  104,  113,  92,  100,  96,  121,  66,  92,  111,  79,  100,  99,  101,  111,  98,  124,  138,  66,  103,  101,  86,
Printing,  24,  15,  20,  14,  20,  11,  10,  16,  7,  5,  12,  9,  10,  18,  7,  9,  8,  7,  16,  7,  7,
Coke and refined petroleum,  138,  65,  72,  108,  110,  173,  144,  119,  147,  81,  77,  87,  96,  88,  76,  97,  111,  54,  30,  41,  78,
Chemicals,  660,  668,  558,  705,  635,  704,  670,  795,  888,  774,  822,  793,  765,  892,  866,  863,  792,  453,  468,  488,  590,
Pharmaceuticals,  249,  257,  269,  269,  282,  346,  345,  309,  277,  265,  304,  279,  331,  335,  394,  459,  494,  365,  408,  343,  328,
Rubber and plastics products,  236,  263,  274,  264,  240,  319,  240,  343,  382,  276,  361,  307,  289,  296,  362,  325,  339,  219,  226,  226,  238,
Other non-metallic mineral products,  180,  208,  216,  243,  240,  315,  178,  176,  220,  136,  216,  171,  175,  162,  201,  250,  238,  117,  164,  152,  205,
Basic metal and metal products,  261,  244,  345,  412,  448,  559,  296,  428,  534,  425,  381,  386,  328,  363,  318,  374,  337,  216,  232,  241,  336,
Electronics and electrical equipment,  945, 1 099, 1 190, 1 240, 1 088, 1 253, 1 092, 1 365, 1 295, 1 206, 1 182, 1 152, 1 159, 1 148, 1 163, 1 342, 1 334,  892, 1 116, 1 200, 1 408,
Machinery and equipment,  345,  428,  448,  501,  606,  908,  829,  837, 1 008,  828,  897,  819,  887,  810,  811,  886,  959,  674,  656,  751,  985,
Automotive,  871,  836,  812,  919,  907, 1 121,  850, 1 016, 1 141, 1 078,  969, 1 046, 1 060, 1 087, 1 146, 1 209, 1 094,  591,  725,  729,  977,
Furniture,  57,  67,  75,  112,  125,  137,  121,  123,  105,  158,  173,  129,  157,  160,  216,  285,  246,  177,  169,  165,  225,
Other manufacturing,  218,  222,  218,  312,  290,  443,  455,  466,  425,  459,  528,  461,  477,  527,  458,  528,  522,  383,  449,  459,  480,
Services, 3 921, 4 503, 4 946, 6 421, 6 606, 8 877, 7 455, 7 402, 8 445, 8 254, 8 611, 8 094, 7 649, 7 748, 8 438, 10 635, 10 808, 8 107, 9 405, 11 791, 10 772,
Energy and gas supply,  102,  70,  97,  215,  325,  506,  423,  326,  390,  281,  373,  251,  381,  398,  347,  516,  633,  557,  533,  586,  879,
Water and waste management services,  15,  13,  16,  25,  41,  49,  39,  28,  30,  30,  29,  23,  36,  31,  24,  33,  39,  15,  30,  33,  22,
Construction,  144,  127,  158,  292,  287,  537,  279,  179,  167,  237,  209,  242,  266,  327,  279,  529,  453,  326,  335,  218,  358,
Trade,  568,  628,  627,  676,  436,  563,  683,  599,  600,  551,  652,  459,  455,  492,  670,  724,  720,  599,  648,  454,  478,
Transportation and storage,  317,  478,  582,  649,  649,  824,  725,  661,  730,  728,  861,  811,  709,  726,  742,  840,  807,  648,  770,  997, 1 306,
Hospitality,  381,  371,  275,  333,  303,  532,  351,  305,  198,  150,  197,  95,  125,  142,  178,  471,  483,  177,  210,  142,  103,
Information and communication, 1 136, 1 426, 1 566, 1 808, 1 892, 2 127, 1 879, 1 989, 2 433, 2 499, 3 064, 2 924, 2 700, 2 833, 3 090, 3 712, 3 755, 3 047, 3 936, 5 131, 3 339,
Finance and insurance,  646,  657,  813, 1 220, 1 239, 1 736, 1 386, 1 352, 1 688, 1 443, 1 212, 1 317,  952,  806,  981, 1 046, 1 110,  747,  738, 1 055,  965,
Real estate,  37,  66,  83,  180,  271,  350,  122,  120,  89,  90,  82,  110,  107,  92,  110,  107,  113,  79,  80,  110,  130,
Professional services,  272,  292,  368,  513,  659,  932,  893, 1 032, 1 239, 1 282, 1 153, 1 062, 1 044, 1 079, 1 096, 1 218, 1 191, 1 100, 1 261, 1 772, 1 689,
Administrative and support services,  187,  260,  247,  372,  347,  451,  414,  567,  609,  684,  581,  583,  608,  570,  656, 1 078, 1 014,  591,  586,  991, 1 175,
Education,  14,  36,  28,  41,  38,  112,  118,  109,  117,  139,  85,  91,  108,  99,  79,  114,  146,  99,  129,  138,  137,
Health services,  33,  29,  26,  32,  50,  90,  71,  61,  82,  60,  59,  80,  81,  88,  85,  95,  174,  47,  81,  76,  92,
Entertainment,  69,  50,  60,  64,  64,  63,  69,  69,  65,  56,  49,  39,  69,  60,  97,  140,  146,  59,  44,  75,  83,
Other services,-,-,-,  1,  5,  5,  3,  5,  8,  24,  5,  7,  8,  5,  4,  12,  24,  16,  24,  13,  16,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source: UNCTAD, based on information from the Financial Times Ltd, fDi Markets (www.fDimarkets.com). ",,,,,,,,,,,,,,,,,,,,,,
Note: Data refer to estimated amounts of capital investment. Definition and coverage of industries may be different from those of M&As and other FDI tables. They refer to the sector/industry of the project. Totals exclude the financial centres in the Caribbean.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
