STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,DECIMALS,Decimals
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,PMR,Product market regulation,A,Annual,2023,,1.352432787,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,STATE_INVOL,Distortions induced by state involvement,A,Annual,2023,,1.145556808,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,DISTORT_PUBLIC,Distortions induced by public ownership,A,Annual,2023,,1.224415302,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,GOVERNANCE,Governance of state-owned enterprises (SOEs),A,Annual,2023,,2.105263233,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,INVOL_BUSINESS,Involvement in business operations,A,Annual,2023,,0.901143789,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,PRICE,Retail price controls and regulation,A,Annual,2023,,0.882352948,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,INV_BUS_NET,Involvement in business operations in network sectors,A,Annual,2023,,1.111111164,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2023,,0.844444454,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2023,,0.766666651,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,REGULATIONS,Regulations impact evaluation,A,Annual,2023,,1.311111212,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2023,,0.222222224,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2023,,2.400000095,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2023,,1.559308767,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2023,,2.3125,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,ADBURDEN,Administrative requirements for limited liability companies (LLCs) and personally owned enterprises (POEs),A,Annual,2023,,2.025000095,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
