,Summary Tables,,,,,,,,,,,,,,,,,,,,
,All products,,,,,,,,,,,,,,,,,,,,
,,Year of MFN applied tariff,Binding coverage,Simple average,,Duty-free,,Non ad valorem duties,,Duties > 15 %,,Duties > 3 * AVG,,"Concessions
not yet
implemented
 in 2023",Maximum duty,,Number of distinct duty rates,,Coefficient of variation,,Number of MFN applied tariff lines
,Country/Territory,,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,
,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4,Afghanistan                                                                                                                                           ,,96.7,13.4,,8.8,,0.8,,28.3,,4.7,,0,70,,19,,103,,
8,Albania                                                                                                                                               ,2023,100,6.6,3.5,32.7,54.3,0,0,15.2,0,11,9.7,0,20,15,9,6,101,134,"9,754"
12,Algeria                                                                                                                                               ,2022,,,18.9,,1.7,,0,,42.2,,0.1,,,60,,5,,55,"16,875"
24,Angola                                                                                                                                                ,2023,100,59.1,11,0,44,0,0,99.2,25.7,0,10.4,0,80,70,6,13,8,143,"5,656"
28,Antigua and Barbuda                                                                                                                                   ,2022,95.2,59.5,9.9,0,10,0,0.1,95.2,24.5,0.2,6.8,0,220,70,32,12,39,94,"6,705"
32,Argentina                                                                                                                                             ,2023,100,31.8,13.4,0,6.2,0,0,97.8,35.2,0,0,0,35,35,17,52,23,77,"10,673"
51,Armenia                                                                                                                                               ,2023,100,8.7,6.3,35.3,16.3,0,8.8,0,0.6,0,0.3,0,15,80,9,253,80,71,"13,106"
36,Australia                                                                                                                                             ,2023,97.2,9.4,2.4,23.6,52.1,1,0.1,12.9,0,5.7,0.1,0,55,18,55,5,118,99,"6,799"
31,Azerbaijan                                                                                                                                            ,2023,,,8.2,,34.1,,1.3,,0.6,,0.5,,,258,,24,,118,"10,583"
48,"Bahrain, Kingdom of                                                                                                                                   ",2023,70.3,34.9,4.5,2,11,0,0.2,68.3,0.1,0.3,0.1,0,200,100,4,9,40,83,"7,848"
50,Bangladesh                                                                                                                                            ,2023,17.6,155.1,14.1,0,4.3,0,0.4,16.9,42.1,0,0,0,200,25,17,17,49,66,"7,512"
52,Barbados                                                                                                                                              ,2022,95.2,78.9,13.9,0,5.4,0,0,95.2,26.3,0.5,5,0,247,216,29,46,30,151,"7,056"
112,Belarus                                                                                                                                               ,2023,,,6.6,,16.3,,8.8,,1.5,,1,,,198,,254,,115,"13,228"
84,Belize                                                                                                                                                ,2023,96,59.1,11.9,0,11,0,0.5,96,26.8,0,10.6,0,110,110,5,42,32,122,"6,986"
204,Benin                                                                                                                                                 ,2023,38.7,29.2,12,0.8,1.7,0,0,18,38.6,0.8,0,0,100,35,14,5,94,61,"6,380"
64,Bhutan                                                                                                                                                ,2023,,,9.3,,11,,0,,0.9,,0.6,,,100,,11,,75,"5,864"
68,"Bolivia, Plurinational State of                                                                                                                       ",2023,100,40,11.8,0,7,0,0,100,20.8,0,6.2,0,40,40,2,9,1,81,"8,129"
70,Bosnia and Herzegovina                                                                                                                                ,2023,,,6.2,,31.8,,2.9,,2.4,,2.1,,,633,,57,,143,"10,536"
